"Question","QType","Answers","Q_1","Q_2","Q_3","Q_4","Q_5","Q_6","Q_7","Q_8","Q_9","Q_10","Q_11","Q_12","E_1","E_2","E_3","E_4","E_5","E_6","E_7","E_8","E_9","E_10","E_11","E_12","Explanation","Tags","Source","EvaluationScore","EvaluationDecision"
"When orchestrating multi-agent systems in a hub-and-spoke architecture, which of the following is true regarding task decomposition and delegation?","2","1 0 0 0","The coordinator decomposes tasks into independent subtasks and delegates them to subagents.","Subagents are responsible for both task decomposition and result aggregation.","Each subagent handles multiple interdependent tasks simultaneously.","Task delegation is managed by a central database rather than the coordinator.","","","","","","","","","Correct. The coordinator decomposes large tasks into independent subtasks and delegates them to isolated subagents, ensuring efficient parallel processing.","Incorrect. Subagents have isolated contexts and do not handle task decomposition or result aggregation; these responsibilities lie with the coordinator.","Incorrect. Each subagent focuses on a single, distinct task rather than handling multiple interdependent tasks simultaneously.","Incorrect. Task delegation is managed by the coordinator within the hub-and-spoke architecture, not through a central database.","","","","","","","","","In a hub-and-spoke architecture for multi-agent systems, the coordinator plays a crucial role in task decomposition and delegation. The coordinator breaks down large tasks into independent subtasks and assigns them to individual subagents, ensuring that each subagent operates within its isolated context without interference from others.","claude-cert domain:1 source:docs-en-build-with-claude-mid-conversation-effort-example eval:0.90","https://platform.claude.com/docs/en/build-with-claude/mid-conversation-effort-example","0.9","accept"
"When orchestrating multi-agent systems using the hub-and-spoke architecture, which of the following is a recommended practice for task decomposition and delegation?","2","1 0 0 0","Decompose tasks into independent subtasks that can be executed in parallel by subagents.","Combine all tasks into one large subtask to simplify communication between agents.","Assign each agent the entire task without breaking it down further for simplicity.","Delegate tasks randomly among available subagents without considering their context.","","","","","","","","","This option is correct because decomposing tasks into independent subtasks allows parallel execution and efficient use of resources in a multi-agent system.","Incorrect. Combining all tasks into one large subtask can lead to inefficiencies, increased complexity, and potential bottlenecks in communication and resource management.","Incorrect. Assigning each agent the entire task without breaking it down further defeats the purpose of using a multi-agent system for parallel processing and efficient task execution.","Incorrect. Randomly delegating tasks among subagents can lead to uneven workload distribution, context mismatches, and inefficient use of resources.","","","","","","","","","In the hub-and-spoke architecture, it is recommended to decompose large tasks into independent subtasks that can be executed in parallel by subagents. This approach optimizes resource utilization and ensures efficient communication between agents while maintaining task isolation and context separation.","claude-cert domain:1 source:docs-en-build-with-claude-mid-conversation-effort-example eval:0.90","https://platform.claude.com/docs/en/build-with-claude/mid-conversation-effort-example","0.9","accept"
"When orchestrating multi-agent systems using the hub-and-spoke architecture, which of the following is a recommended practice for task decomposition and delegation?","2","1 0 0 0","Decompose tasks into independent subtasks that can be executed in parallel by subagents.","Assign all tasks to a single agent to ensure consistency and reduce communication overhead.","Combine multiple small tasks into one large task for simplicity and ease of management.","Delegate tasks randomly among agents without considering the context or dependencies.","","","","","","","","","This option is correct because decomposing tasks into independent subtasks allows parallel execution by subagents, which aligns with the hub-and-spoke architecture where a coordinator manages inter-subagent communication and task delegation.","This option is incorrect because assigning all tasks to a single agent can lead to bottlenecks and inefficiencies. The goal of multi-agent systems is to distribute work among agents for better performance and scalability.","This option is incorrect because combining multiple small tasks into one large task defeats the purpose of task decomposition, which aims to break down complex tasks into manageable units that can be processed in parallel or sequentially by different subagents.","This option is incorrect because random delegation without considering context and dependencies can lead to inefficiencies and errors. Proper task decomposition involves understanding the interdependencies between tasks and assigning them appropriately.","","","","","","","","","In a hub-and-spoke architecture, it is recommended to decompose large tasks into independent subtasks that can be executed in parallel by subagents. This approach ensures efficient use of resources and minimizes communication overhead while maintaining task consistency and integrity.","claude-cert domain:1 source:docs-en-build-with-claude-mid-conversation-effort-example eval:0.90","https://platform.claude.com/docs/en/build-with-claude/mid-conversation-effort-example","0.9","accept"
"You are developing a custom skill for managing PDF files in the Claude Platform. According to best practices, what should be included in the description field of your SKILL.md file?","2","1 0 0 0","description: Extract text and tables from PDF files, fill forms, merge documents. Use when working with PDF files or when the user mentions PDFs, forms, or document extraction.","description: Helps with documents","description: Processes data","description: Does stuff with files","","","","","","","","","This option is correct because it provides a specific and detailed description of what the skill does, including key terms like 'PDF files', 'forms', and 'document extraction'. This helps Claude understand when to use this Skill.","This option is incorrect because it is too vague. It doesn't provide enough detail for Claude to know when to select this Skill.","This option is incorrect because it is also too vague. The description should include specific terms related to the skill's functionality, such as 'PDF files' or 'document extraction'.","This option is incorrect because it is overly generic and does not provide any context for when the Skill should be used.","","","","","","","","","The correct answer must provide a detailed description that includes specific terms related to the skill's functionality. This helps Claude understand when to use this Skill, making it easier to select from potentially many available Skills.","claude-cert domain:3 source:docs-en-agents-and-tools-agent-skills-best-practices eval:0.90","https://platform.claude.com/docs/en/agents-and-tools/agent-skills/best-practices","0.9","accept"
"In the context of configuring subagents for parallel tool use in a conversation, which of the following statements is true regarding how to format messages containing multiple tool results?","2","0 1 0 0","Each tool result should be sent back as its own message.","All tool results must be combined into one user message.","Tool results can be interspersed with regular conversation text.","Only the first tool result needs to be included in a response.","","","","","","","","","Incorrect. According to the documentation, each tool result should not be sent back as its own message; instead, all results must be combined into one user message.","Correct. The documentation specifies that all tool results must be combined into a single user message for parallelism to work correctly.","Incorrect. Tool results cannot be interspersed with regular conversation text; they need to appear together in the same message without any preceding text content.","Incorrect. Only including the first tool result is insufficient and does not adhere to the guidelines for parallel tool use.","","","","","","","","","The documentation clearly states that all tool results must be combined into one user message, with no text before them in the message array, to ensure proper handling of parallel tool calls.","claude-cert domain:1 source:docs-en-agents-and-tools-tool-use-parallel-tool-use eval:0.90","https://platform.claude.com/docs/en/agents-and-tools/tool-use/parallel-tool-use","0.9","accept"
"While developing an application that uses the Compliance API to fetch compliance activities, you encounter a 'limit' parameter error when trying to retrieve data. What is the correct range for the limit parameter?","2","0 1 0 0","1 to 500","1 to 1000","1 to 2000","1 to 1500","","","","","","","","","Incorrect because the limit parameter must be between 1 and 1000, inclusive.","Correct as per documentation stating that the limit parameter must be within this range for Compliance API endpoints.","Incorrect because it exceeds the maximum allowed value of 1000.","Incorrect because it is outside the accepted range of 1 to 1000.","","","","","","","","","The documentation clearly states that the limit parameter must be between 1 and 1000, inclusive. Any value outside this range will result in an 'invalid_request_error'.","claude-cert domain:2 source:docs-en-manage-claude-compliance-errors eval:0.90","https://platform.claude.com/docs/en/manage-claude/compliance-errors","0.9","accept"
"While developing the multi-agent research system, you encounter an error when trying to retrieve compliance data from the Claude API with a limit of 1500. What is the correct action to take?","2","1 0 0 0","Reduce the limit parameter to within the accepted range (1-1000).","Increase the limit parameter beyond 1000.","Ignore the error and continue with a limit of 1500.","Change the API endpoint to one that supports higher limits.","","","","","","","","","The correct action is to reduce the limit parameter to within the accepted range (1-1000) as specified by the Claude Platform Docs.","Increasing the limit parameter beyond 1000 will still result in an invalid_request_error because the endpoint only accepts limits between 1 and 1000, inclusive.","Ignoring the error is not a viable solution since it violates API constraints and can lead to further issues or data inconsistencies.","Changing the API endpoint is unnecessary if the current endpoint supports pagination with an opaque page token rather than adjusting limit parameters.","","","","","","","","","The documentation clearly states that the limit parameter must be between 1 and 1000, inclusive. Therefore, reducing the limit to within this range resolves the issue without altering other aspects of the API call or endpoint configuration.","claude-cert domain:2 source:docs-en-manage-claude-compliance-errors eval:0.90","https://platform.claude.com/docs/en/manage-claude/compliance-errors","0.9","accept"
"When designing a tool interface for Claude to get weather information, which of the following is essential according to the documentation?","2","1 0 0 0","Including an input_examples field with valid examples.","Using complex nested objects without clear descriptions.","Providing minimal descriptions for all tools.","Specifying a single tool in the tool_choice field.","","","","","","","","","The documentation emphasizes providing concrete examples of valid tool inputs to help Claude understand how to use the tools more effectively. This is particularly useful for complex tools with nested objects, optional parameters, or format-sensitive inputs.","While it's important to handle complex inputs, the documentation stresses clear descriptions and minimal ambiguity in input formats rather than complexity alone.","The documentation explicitly states that minimal descriptions lead to unreliable tool selection. Clear and detailed descriptions are necessary for effective tool use.","Specifying a single tool in the tool_choice field is not always required unless you want Claude to use a specific tool even if it would otherwise answer directly without calling a tool.","","","","","","","","","According to the documentation, providing concrete examples of valid inputs (input_examples) helps Claude understand how to use tools more effectively. This includes handling complex objects and optional parameters clearly and concisely.","claude-cert domain:2 source:docs-en-agents-and-tools-tool-use-define-tools eval:0.90","https://platform.claude.com/docs/en/agents-and-tools/tool-use/define-tools","0.9","accept"
"You are tasked to create a custom skill named 'git-commit-helper' that generates descriptive commit messages based on git diffs. According to the best practices, what should be included in the description field of SKILL.md?","2","0 0 1 0","description: Helps with documents","description: Analyze Excel spreadsheets, create pivot tables, generate charts. Use when analyzing Excel files, spreadsheets, tabular data, or .xlsx files.","description: Generate descriptive commit messages by analyzing git diffs. Use when the user asks for help writing commit messages or reviewing staged changes.","description: Processes datadescription: Does stuff with files","","","","","","","","","This description is too vague and does not provide specific triggers or contexts for when to use the skill, making it ineffective for Claude's selection process.","This option describes an Excel Analysis skill which is unrelated to generating commit messages from git diffs. It is incorrect as it pertains to a different type of skill entirely.","This description clearly states what the skill does and provides specific triggers or contexts for when to use it, adhering to best practices outlined in the documentation.","These descriptions are vague and do not provide enough detail for Claude to understand the purpose of the skill. They also contain syntax errors.","","","","","","","","","The correct description should be specific about what the skill does (generating descriptive commit messages from git diffs) and when it should be used (when the user asks for help writing commit messages or reviewing staged changes). This ensures Claude can accurately select the appropriate skill based on user input.","claude-cert domain:3 source:docs-en-agents-and-tools-agent-skills-best-practices eval:0.90","https://platform.claude.com/docs/en/agents-and-tools/agent-skills/best-practices","0.9","accept"
"When designing prompts for a continuous integration system that requires high precision and low false positive rates, which of the following approaches is most effective in reducing false positives?","2","1 0 0 0","Specify explicit criteria with concrete examples to guide Claude's response.","Use general instructions like 'be conservative' without specific details.","Rely on vague guidelines and hope for the best outcome.","Ignore false positives as they are not significant in continuous integration.","","","","","","","","","This option is correct because explicit criteria with concrete examples help Claude understand specific requirements, reducing ambiguity and minimizing false positives. The documentation emphasizes the importance of precise instructions over vague ones.","Incorrect because general instructions like 'be conservative' lack specificity and can lead to inconsistent results or high false positive rates. Specific criteria are necessary for reliable performance in continuous integration systems.","Incorrect as relying on vague guidelines increases ambiguity, leading to higher false positive rates and decreased developer trust. The documentation advises against using vague instructions without concrete examples.","Incorrect because ignoring false positives can undermine the reliability of a continuous integration system. False positives are significant issues that need addressing for maintaining high precision.","","","","","","","","","The best approach to reducing false positives in prompts designed for continuous integration systems is to specify explicit criteria with concrete examples, as this helps Claude understand specific requirements and reduces ambiguity. General instructions or vague guidelines can lead to inconsistent results and higher false positive rates.","claude-cert domain:4 source:docs-en-build-with-claude-prompt-engineering-claude-prompting-best-practices eval:0.90","https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/claude-prompting-best-practices","0.9","accept"
